N	from_user	text	created_at	Relevante? (S/N) Anotador 1	Relevante? (S/N) Anotador 2	Relevante? (S/N) Final	Concorda
859604465053249536	OpsEngordei	um beijo pro ratatouille #MasterChefBR	Wed May 03 03:04:09 +0000 2017	N	N	N	1
859604519927283713	FelixZiul	A líder do time azul é igual a muitos líderes nas empresas que são arrogantes e insuportáveis #MasterChefBR	Wed May 03 03:04:22 +0000 2017	S	S	S	1
859604656875593728	dyrsoo	RT @MChefRoger: OLHA AQUI QUERIDINHA DE PEIXE EU ENTENDO!!! Vraaaaaa @MChefFabrizio @masterchefbr #MasterChefBR https://t.co/97DHyH6wFk	Wed May 03 03:04:55 +0000 2017	S	S	S	1
859604686470602753	whatsappsbr	RT @Candidatavip: o crush visualizou e esta escrevendo #MasterchefBR https://t.co/sYwUelKgcf	Wed May 03 03:05:02 +0000 2017	N	N	N	1
859604707270156288	avadakedavrals	Não quero que nem a miriam e nem o fabrizio saia se não meu barraco esta perdido #MasterChefBR	Wed May 03 03:05:07 +0000 2017	N	N	N	1
859604740249989124	JackCanalha	#MasterChefBR https://t.co/GsOXYZqucB	Wed May 03 03:05:15 +0000 2017	N	N	N	1
859604789834985472	avadakedavrals	RT @thiago_p: A mulher não conseguiu cozinhar uma mandioca e joga a culpa no outro que ficou sozinho com o peixe. hahahahaha #MasterChefBR	Wed May 03 03:05:27 +0000 2017	N	S	S	0
859604823397859332	Teledramaturgia	Cozinhando sozinha #MasterChefBR https://t.co/et7H4vxxcC	Wed May 03 03:05:35 +0000 2017	N	N	N	1
859604881774194689	avadakedavrals	RT @edyenecaroline: Para alarmes com a @PaolaCarosella dizendo: "acorda,acorda!" eu digo SIM! #MasterChefBR	Wed May 03 03:05:49 +0000 2017	N	S	S	0
859604896877826049	avadakedavrals	RT @misilmg: 45 minutos dá tempo de, no máximo, abrir uma lata de sardinha! #MasterChefBR	Wed May 03 03:05:52 +0000 2017	N	N	N	1
859604914363826176	masterchefbr	Tá vendo como ele surge? #MasterChefBR https://t.co/7rRyynEUoj	Wed May 03 03:05:56 +0000 2017	N	N	N	1
859604923234881537	avadakedavrals	RT @missbannwart: Conselhos para a vida com Erick Jacquin #MasterChefBR https://t.co/7w1FuOsO59	Wed May 03 03:05:59 +0000 2017	N	N	N	1
859604943619190784	avadakedavrals	RT @cleytu: qnd vc ta deitado quase dormindo e de repente tem a sensação de q tá caindo #MasterChefBR https://t.co/067HSq5AH1	Wed May 03 03:06:03 +0000 2017	N	N	N	1
859604969003122689	avadakedavrals	RT @laarissamarcal: Qualquer semelhança é mera coincidência #MasterChefBR https://t.co/OD0JHcIQyp	Wed May 03 03:06:09 +0000 2017	N	N	N	1
859604975839793152	PaolaCarosella	RT @masterchefbr: Sua vó começa a chorar com a novela e quer que você se emocione também! #MasterChefBR https://t.co/jMTQXzZJ9g	Wed May 03 03:06:11 +0000 2017	N	N	N	1
859605054948560896	pratofundo	ads com a tartaruga que eu achei que era da Tortuguita, mas é de apartamento… hahahah #MasterChefBR https://t.co/nbDz27wyoa	Wed May 03 03:06:30 +0000 2017	N	N	N	1
859605136150327296	avadakedavrals	RT @AmericooJr: O crush mudou o status para solteiro!!! #MasterChefBR https://t.co/o67i0LT616	Wed May 03 03:06:49 +0000 2017	N	N	N	1
859605146657017856	avadakedavrals	RT @NonLacerda: Quando tem treta no #MasterChefBR 😍😍👏👏 https://t.co/PD4oaykvJr	Wed May 03 03:06:52 +0000 2017	N	N	N	1
859605154265518080	brunomotta	Isto que esta passando no Jornal da Globo é uma das coisas mais asquerosas que eu vi hoje. E tem gente limpando peixe no #MasterChefBR	Wed May 03 03:06:54 +0000 2017	N	N	N	1
859605156111020032	avadakedavrals	RT @cleytu: eu assistindo as tretas no #MasterChefBR https://t.co/It0nCfCe8Y	Wed May 03 03:06:54 +0000 2017	N	N	N	1
859605178173018112	avadakedavrals	RT @Ketiigomes: Não acredito que uma senhorinha é a embuste da edição #MasterChefBR https://t.co/OKOg4Zu8nW	Wed May 03 03:06:59 +0000 2017	N	S	S	0
859605297610051584	bicmuller	Cheguei no #masterchefBR e já quero sentar na janelinha	Wed May 03 03:07:28 +0000 2017	N	N	N	1
859605309689671682	Zodiculo	"O salmão é a vaca do mar" #MasterChefBR Eu sou a vaca do Twitter.	Wed May 03 03:07:31 +0000 2017	S	S	S	1
859605326810796033	avadakedavrals	A GENTE TORCEU PELA MIRIAM E FOI ELA QUE TIROU A MARZILIA EU ODEIO O MUNDO #MasterChefBR	Wed May 03 03:07:35 +0000 2017	N	S	S	0
859605335408955393	PaolaCarosella	RT @twispn: aqui em casa ja montei meu prato com uma redução de biscoito e um pão desconstruido bejo @PaolaCarosella 💜 #MasterChefBR https:…	Wed May 03 03:07:37 +0000 2017	S	S	S	1
859605361933905922	avadakedavrals	RT @BlueLarry_: #MasterChefBR quando vejo meus favs subindo pro mezanino https://t.co/1NQJ3WAd8d	Wed May 03 03:07:43 +0000 2017	N	N	N	1
859605376546873345	avadakedavrals	RT @cleytu: QUANTA TRETA #MasterChefBR https://t.co/b6LmwmxBmj	Wed May 03 03:07:47 +0000 2017	N	S	S	0
859605395203117056	Teledramaturgia	Gente, o que é DIL que eles tanto falam? #MasterChefBR	Wed May 03 03:07:51 +0000 2017	S	S	S	1
859605453956800512	QuinnJohnston9	#MasterChefBR https://t.co/FoU1CmzgFl	Wed May 03 03:08:05 +0000 2017	N	N	N	1
859605456783908864	diva_oficial	Qual o nome do peixe que tá sendo preparado hoje no #MasterChefBR? https://t.co/yjKhwvXhe0	Wed May 03 03:08:06 +0000 2017	S	N	S	0
859605465906524160	MussumAlive	O pessoal desse #MasterchefBR gosta de usar esse tal de DIU né	Wed May 03 03:08:08 +0000 2017	S	N	S	0
859605642386055168	masterchefbr	A prova eliminatória de hoje tem uma pitada de tensão a mais! Estamos adorando? #MasterChefBR https://t.co/5Y5T0gku9M	Wed May 03 03:08:50 +0000 2017	N	N	N	1
859605642172084227	fran1996_	Miriam ela vende Mary Kay #MasterChefBR	Wed May 03 03:08:50 +0000 2017	S	N	S	0
859605644952956928	emilyfdearaujo	#MasterChefBR eu amo o cabelo da nana	Wed May 03 03:08:51 +0000 2017	N	N	N	1
859605728864161798	diva_oficial	Receiteira sou eu. No "Tudo Gostoso" da vida eu sou aquela que procura qualquer prato com "Fácil e Rápido" no título! #MasterChefBR	Wed May 03 03:09:11 +0000 2017	S	S	S	1
859605783213985792	emilyfdearaujo	#MasterChefBR bem cobras no mezanino	Wed May 03 03:09:24 +0000 2017	N	S	S	0
859605817540182016	Teledramaturgia	Nathalia Dill #MasterChefBR	Wed May 03 03:09:32 +0000 2017	N	N	N	1
859605960398163968	MChef_Raul	O @MChefLeonardo é a enciclopedia do MC 🤘😂. #masterchefbr	Wed May 03 03:10:06 +0000 2017	N	N	N	1
859605998193053696	JackCanalha	Quem é a mais chata do programa levanta a mão. #MasterChefBR https://t.co/vUdm3UOYWn	Wed May 03 03:10:15 +0000 2017	N	N	N	1
859606045806796800	Teledramaturgia	Minha barriga te ama #MasterChefBR	Wed May 03 03:10:26 +0000 2017	N	N	N	1
859606052286943232	emilyfdearaujo	#MasterChefBR MEZANINO ME REPRESENTA	Wed May 03 03:10:28 +0000 2017	N	N	N	1
859606068292407301	masterchefbr	RT @miguelevmusic: "eu sou receitera" it's the new "eu sou rolezera" #MasterChefBR	Wed May 03 03:10:32 +0000 2017	S	N	S	0
859606192045379584	diva_oficial	Quando as pessoas me dão apelidos carinhosos: #MasterChefBR https://t.co/aVqCJkpo2e	Wed May 03 03:11:01 +0000 2017	N	N	N	1
859606221204094977	bicmuller	Quem a gente tá tetestando no #masterchefBR?	Wed May 03 03:11:08 +0000 2017	N	N	N	1
859606283267309568	OpsEngordei	yuko apagada da ediçao de hj #MasterChefBR	Wed May 03 03:11:23 +0000 2017	N	N	N	1
859606315504721921	rennangaldino_	Acho que sou o único aqui que não gosta de ver treta no MasterChef #MasterChefBR	Wed May 03 03:11:30 +0000 2017	N	N	N	1
859606344977924096	masterchefbr	Nível de confiança atualizado. #MasterChefBR https://t.co/1bINIFNwEP	Wed May 03 03:11:38 +0000 2017	N	N	N	1
859606446593515520	TeIevizona	Não quero que a Mirian saia, mas tambem não quero que ela ganhe essa prova! kkkkk #MasterChefBR	Wed May 03 03:12:02 +0000 2017	S	S	S	1
859606491908771841	samara7days	Se eu alimentasse a fome que o #MasterChefBR sempre me provoca acho que estaria com uns 300 Kg.	Wed May 03 03:12:13 +0000 2017	S	S	S	1
859606581633273856	ZAMENZA	Nível de incentivo: "EMPRATA AGORA ESSA PORRA! #MasterChefBR	Wed May 03 03:12:34 +0000 2017	S	S	S	1
859606591087226881	Teledramaturgia	Por favor, não passem do ponto da truta #MasterChefBR https://t.co/tdn2ESS0p4	Wed May 03 03:12:36 +0000 2017	N	N	N	1
859606630761209856	danilo_sanches	Empratar, filetar... Verbos que são a cara do #MasterchefBr	Wed May 03 03:12:46 +0000 2017	N	N	N	1
859606789863739392	Danzits	que afliçãooooooo #MasterChefBR	Wed May 03 03:13:24 +0000 2017	N	N	N	1
859606801234501634	ZAMENZA	Os dez segundos da Ana Paula são 20 segundos, né. #MasterChefBR	Wed May 03 03:13:26 +0000 2017	S	N	S	0
859606811908898816	Metropoles	Mirian e Fabrizio brigam no #MasterchefBR e internautas vão à loucura - https://t.co/xAqFWi6fc1 https://t.co/foHw4yg0Xw	Wed May 03 03:13:29 +0000 2017	N	S	S	0
859606868586635264	depoisdeumdrink	Depois do climão vem o drama #MasterChefBR	Wed May 03 03:13:42 +0000 2017	N	S	S	0
859606989520990208	masterchefbr	Já podemos lançar um dicionário. #MasterChefBR https://t.co/XYEyql9MwY	Wed May 03 03:14:11 +0000 2017	N	N	N	1
859607053572112389	Teledramaturgia	Nossa, aguei aqui #MasterChefBR	Wed May 03 03:14:26 +0000 2017	N	N	N	1
859607139622559745	thiago_p	Minha única regra pra comer peixe é: se ele olhar pra mim eu não como. #MasterChefBR	Wed May 03 03:14:47 +0000 2017	S	S	S	1
859607142428532737	samara7days	Quando você dá aquele unfollow libertador! #MasterChefBR https://t.co/Pgoty0qSVB	Wed May 03 03:14:48 +0000 2017	N	S	S	0
859607201593380864	danilo_sanches	RT @masterchefbr: Já podemos lançar um dicionário. #MasterChefBR https://t.co/XYEyql9MwY	Wed May 03 03:15:02 +0000 2017	N	N	N	1
859607205401833472	emilyfdearaujo	#MasterChefBR PISA MENOS ADELIZE	Wed May 03 03:15:03 +0000 2017	N	S	S	0
859607333793656833	emilyfdearaujo	#MasterChefBR PISA MENOS EU TE IMPLORO	Wed May 03 03:15:33 +0000 2017	N	S	S	0
859607467801677825	emilyfdearaujo	RT @_CrazyGenious: @MChefDouglas QUE NAJAAAA AHAHAHAHAHAH ADORO #MasterChefBR	Wed May 03 03:16:05 +0000 2017	N	S	S	0
859607582339682304	bicmuller	AGORA PARE PEGUE NO BUMBUM #masterchefBR https://t.co/GXIba0NCZU	Wed May 03 03:16:33 +0000 2017	N	N	N	1
859607590388600832	ZAMENZA	A Aderlize é muito boa. Vai de mansinho e se destaca. #MasterChefBR	Wed May 03 03:16:34 +0000 2017	N	S	S	0
859607618653913093	TeIevizona	Quando eu vejo aquela @ de sunga #MasterChefBR https://t.co/YC3MfZsVXW	Wed May 03 03:16:41 +0000 2017	N	N	N	1
859607667152740352	Teledramaturgia	É tão bonito os chefs elogiando um prato, falando com carinho #MasterChefBR	Wed May 03 03:16:53 +0000 2017	N	S	S	0
859607675570704387	emilyfdearaujo	#MasterChefBR ADERLIZE EU TE VENERO AAAAA	Wed May 03 03:16:55 +0000 2017	N	N	N	1
859607750074142720	masterchefbr	Não pode respirar nessa cozinha hoje que geral tá com nervos à flor da pele! #MasterChefBR	Wed May 03 03:17:13 +0000 2017	S	S	S	1
859607752875925505	TeIevizona	A cara da Miriam HAHAHA raivosa #MasterChefBR	Wed May 03 03:17:13 +0000 2017	S	S	S	1
859607751542153217	TeIevizona	Aderlize com sangue nos olhos pra sambar na cara da Mirian #MasterChefBR	Wed May 03 03:17:13 +0000 2017	S	S	S	1
859607785402707968	ZAMENZA	Miriam colando na prova descaradamente. #MasterChefBR	Wed May 03 03:17:21 +0000 2017	S	S	S	1
859607852645834753	boudelaires	mirian é o otariano do masterchef #MasterChefBR	Wed May 03 03:17:37 +0000 2017	N	N	N	1
859607875508985856	emilyfdearaujo	#MasterChefBR MIRIAM EU TE ODEIO	Wed May 03 03:17:42 +0000 2017	N	N	N	1
8,59608E+17	bethmoreno	RT @bicmuller: AGORA PARE PEGUE NO BUMBUM #masterchefBR https://t.co/GXIba0NCZU	Wed May 03 03:17:44 +0000 2017	N	N	N	1
859607908279091200	OpsEngordei	ENTRANDO MACIO EH SEMPRE BOM NE #MasterChefBR	Wed May 03 03:17:50 +0000 2017	N	N	N	1
859607987081662464	Aguinaldinho	miriam copiando a aderlize chocado com a vilã da edição. #MasterChefBR	Wed May 03 03:18:09 +0000 2017	N	N	N	1
859607996854304768	emilyfdearaujo	#MasterChefBR PAOLA PISA MENOS DEMONIA EI TE AMOO	Wed May 03 03:18:11 +0000 2017	N	N	N	1
859607993591238657	Resenha_TV	A Marian cozinhando parece eu colando nas provas! Imitou o prato da colega! hahahahah #MasterChefBR	Wed May 03 03:18:11 +0000 2017	S	S	S	1
859608114504617985	diva_oficial	Miriam servindo os pratos para os amigos de jogo: #MasterChefBR https://t.co/IrMGlgfRry	Wed May 03 03:18:39 +0000 2017	N	N	N	1
859608208691929095	AlfaceVerde	Brasil inteiro gorando o prato da Miriam #MasterChefBR	Wed May 03 03:19:02 +0000 2017	S	S	S	1
859608215767711744	MrFabioMelo	Só eu que torço pra Mirian se ferrar na prova kkkk #MasterChefBR	Wed May 03 03:19:04 +0000 2017	N	N	N	1
859608248919392257	diva_oficial	Miriam deu uma de Otariano na colega? #MasterChefBR	Wed May 03 03:19:11 +0000 2017	N	N	N	1
859608261137494016	emilyfdearaujo	#MasterChefBR fez o mesmo prato e fez pior.	Wed May 03 03:19:14 +0000 2017	N	S	S	0
859608277948268544	boudelaires	eu vendo a mirian se dar mal copiando o prato da amiga #MasterChefBR https://t.co/NumxL7bQv5	Wed May 03 03:19:18 +0000 2017	N	S	S	0
859608342737678340	whatsappsbr	ufa acabou a contagem muito dificil isso #MasterChefBR https://t.co/MO24Ed092z	Wed May 03 03:19:34 +0000 2017	N	N	N	1
859608364166385665	ZAMENZA	Pela primeira vez vimos a cola numa prova de culinária. #MasterChefBR	Wed May 03 03:19:39 +0000 2017	S	S	S	1
859608362492858368	danilo_sanches	será q a band dá ticket refeição pros jurados do #masterchefbr ou não precisa	Wed May 03 03:19:39 +0000 2017	S	N	S	0
859608395908878336	emilyfdearaujo	#MasterChefBR MIRIAM ACUSADA DE PLÁGIO	Wed May 03 03:19:46 +0000 2017	S	S	S	1
859608469476974592	TeIevizona	E ESSE KIBE NO #MasterChefBR TA ASSADO OU CRU?	Wed May 03 03:20:04 +0000 2017	S	N	S	0
859608506219016192	emilyfdearaujo	#MasterChefBR foi decapitado atoa kkkkk	Wed May 03 03:20:13 +0000 2017	S	S	S	1
859608584195330049	JackCanalha	Essa contagem regressiva da Ana Paula Padrão é mais mentirosa que a Miriam. #MasterChefBR	Wed May 03 03:20:31 +0000 2017	S	N	S	0
859608581662007296	JackCanalha	Quando sinto cheiro de gasolina na rua. #MasterChefBR https://t.co/kwlVeo9k8s	Wed May 03 03:20:31 +0000 2017	N	N	N	1
859608586498039808	JackCanalha	Indo stalkear / Não gostei do que vi. #MasterChefBR https://t.co/Z3y5NwsIro	Wed May 03 03:20:32 +0000 2017	N	N	N	1
859608589161332739	JackCanalha	MIRIAM KIBANDO OUTRA PARTICIPANTE, É O OTARIANO DO PROGRAMA. #MasterChefBR	Wed May 03 03:20:33 +0000 2017	S	N	S	0
859608606119006209	emilyfdearaujo	#MasterChefBR "É uma treta rei da França"	Wed May 03 03:20:37 +0000 2017	N	N	N	1
859608715426705411	Aguinaldinho	ana paula fazendo as tretas acontecerem que rainha. #MasterChefBR	Wed May 03 03:21:03 +0000 2017	S	S	S	1
859608812260655108	philosopop	batom preto. me faz perder a fome. #MasterchefBR	Wed May 03 03:21:26 +0000 2017	N	N	N	1
859608865972916229	boudelaires	- me empresta a sua receita?? - empresto mirian só não vai fazer igual - pode deixar - #MasterChefBR https://t.co/DaGgY5aYx7	Wed May 03 03:21:39 +0000 2017	S	N	S	0
859608872981495808	TeIevizona	Mas é obvio que não vão tirar a Mirian rainha das tretas dessa edição hoje #MasterChefBR	Wed May 03 03:21:40 +0000 2017	N	N	N	1
859608886088802304	fuxikita	"O peixe já tá morto e ainda decapitado" 😂😂 #MasterChefBr	Wed May 03 03:21:43 +0000 2017	S	S	S	1
859608892799684609	diva_oficial	Que batom trevoso! #MasterChefBR	Wed May 03 03:21:45 +0000 2017	N	N	N	1
859609002241658880	Teledramaturgia	E essa moça com uma jabuticaba na boca? #MasterChefBR	Wed May 03 03:22:11 +0000 2017	S	N	S	0
859609011653574656	MrFabioMelo	Ana Paula Padrão só botando lenha na fogueira GOSTO ASSIM #MasterChefBR	Wed May 03 03:22:13 +0000 2017	S	S	S	1
859609066271801345	NathanBarone	Quero tretaaa.. Alias, Trutaaa ❤ #MasterChefBR	Wed May 03 03:22:26 +0000 2017	S	N	S	0
859609117266259968	EuFumoUm	RT @JJhonwespinoza: Minhas Laricae são mais gourmets que alguns pratos @EuFumoUm #MasterchefBr	Wed May 03 03:22:38 +0000 2017	N	N	N	1
859609245066702849	cleytu	qnd seu amigo te chama pra ir na casa dele comer #MasterChefBR https://t.co/a23WuJz0NB	Wed May 03 03:23:09 +0000 2017	N	N	N	1
859609244278173696	ZAMENZA	Jacquin é mítico. hahahahhaha #MasterChefBR	Wed May 03 03:23:09 +0000 2017	N	N	N	1
859609258228371457	bicmuller	Adivinha quem vai aproveitar o intervalo do masterchef pra assaltar a geladeira? ( ) euzinha (x) minha amiga, claro! #MasterChefBR	Wed May 03 03:23:12 +0000 2017	N	N	N	1
859609266935791617	avadakedavrals	Esse batom da taise lacrou total #MasterChefBR	Wed May 03 03:23:14 +0000 2017	N	N	N	1
859609280575668224	TVShow	Paola Carosella é criticada após comentário no "MasterChef": "Seu papel é avaliar, e não ofender!". #MasterChefBR https://t.co/25U38pW1oZ	Wed May 03 03:23:17 +0000 2017	N	N	N	1
859609280646979585	10TVBr	Paola Carosella é criticada após comentário no "MasterChef": "Seu papel é avaliar, e não ofender!". #MasterChefBR https://t.co/MqByHJ473D	Wed May 03 03:23:17 +0000 2017	N	N	N	1
859609307813425152	TeIevizona	Espero que não saia nem Mirian, nem Fabirizio e que semana que vem os dois tretem de novo #MasterChefBR https://t.co/3NbQmnhBZu	Wed May 03 03:23:24 +0000 2017	S	S	S	1
859609376029650944	masterchefbr	Qual a sua relação com o regime? #MasterChefBR https://t.co/xN8VSWLru0	Wed May 03 03:23:40 +0000 2017	N	N	N	1
859609589863645186	emilyfdearaujo	RT @GiuVigiani: ai a pessoa te chama pra sair e ainda diz que paga #MasterChefBR https://t.co/XhTypsGfnB	Wed May 03 03:24:31 +0000 2017	N	N	N	1
859609689721581568	bicmuller	Quem mais tá lendo o nome dos pratos como TRETA em vez de TRUTA levanta a mão! #MasterChefBR	Wed May 03 03:24:55 +0000 2017	S	S	S	1
859609691260952576	emilyfdearaujo	#MasterChefBR so eu que acho a Paola super sexy experimentando?	Wed May 03 03:24:55 +0000 2017	N	N	N	1
859609693806899201	Resenha_TV	Esse prato do Fabrício tá com uma apresentação horrorosa! Espero que esteja saboroso! #MasterChefBR	Wed May 03 03:24:56 +0000 2017	N	S	S	0
859609697187500032	fuxikita	Aquele quiabo ali não tem nada a ver!! #MasterChefBr	Wed May 03 03:24:57 +0000 2017	N	N	N	1
859609721040510976	avadakedavrals	Não sabia que peixe dava tanta treta assim #MasterChefBr	Wed May 03 03:25:02 +0000 2017	N	N	N	1
859609749377122313	TeIevizona	Quem nasceu pra ser #PowerCoupleBrasil nunca será #MasterChefBR https://t.co/7bgb56IwAe	Wed May 03 03:25:09 +0000 2017	N	N	N	1
859609845279883264	samara7days	#MasterChefBR https://t.co/Con8d6efmd	Wed May 03 03:25:32 +0000 2017	N	N	N	1
859609884689657856	diva_oficial	Que prato deprê! Parece um despacho light! #MasterChefBR https://t.co/yIqLcpoUwW	Wed May 03 03:25:41 +0000 2017	N	S	S	0
859609913760337925	emilyfdearaujo	RT @possentifer: Você não aderiu à greve? #MasterChefBR https://t.co/XLoz7EN0w2	Wed May 03 03:25:48 +0000 2017	N	N	N	1
859609913936445443	danilo_sanches	adorei a participação da Paola Carrosella cozinhando nesse filme #Masterchefbr https://t.co/PZmbuyDDOT	Wed May 03 03:25:48 +0000 2017	N	S	S	0
859609933108719616	avadakedavrals	Jacquin kkkkkkkkkkkkkkkkkkkkkkkkkkkkk #MasterChefBR	Wed May 03 03:25:53 +0000 2017	N	N	N	1
859609937458212864	emilyfdearaujo	RT @andresinkos: Que esses peixes tejem melhor que o da Miriam #MasterChefBR https://t.co/5EcynKSsYF	Wed May 03 03:25:54 +0000 2017	N	N	N	1
859609953044230144	Teledramaturgia	Fabrizio e sua cara de quem vai cair no choro #MasterChefBR	Wed May 03 03:25:58 +0000 2017	N	N	N	1
859609961839644672	emilyfdearaujo	RT @mrsslexie: Taise tem um senso de superioridade, né? #MasterChefBR	Wed May 03 03:26:00 +0000 2017	N	N	N	1
859610137857863680	emilyfdearaujo	RT @pimentabih_: Eu quando fico dando dicas de dieta, mas na sigo elas. #MasterChefBR https://t.co/GI3oalbx7V	Wed May 03 03:26:42 +0000 2017	N	N	N	1
859610187384184833	carleineos	Fabrizio colocando defeito no próprio prato sou eu apresentando trabalho na faculdade #MasterChefBR	Wed May 03 03:26:54 +0000 2017	S	S	S	1
859610245555003392	emilyfdearaujo	#MasterChefBR MIRIAM DE Q VC TÁ RINDO FOFA?	Wed May 03 03:27:07 +0000 2017	S	S	S	1
859610244934193155	TeIevizona	Miriam amando o tombo do Fabrizio #MasterChefBR https://t.co/pbif4HoPJY	Wed May 03 03:27:07 +0000 2017	S	S	S	1
859610260465700864	ZAMENZA	Paola elogia com delicadeza e critica com classe, ao mesmo tempo que dá um esculacho. #MasterChefBR	Wed May 03 03:27:11 +0000 2017	S	S	S	1
859610302362636290	MrFabioMelo	KKKKKKK Mirian rindo do rei dos peixes kkkk #MasterChefBR	Wed May 03 03:27:21 +0000 2017	S	S	S	1
859610359996571650	avadakedavrals	Paola obrigada por essa aula #MasterChefBR	Wed May 03 03:27:35 +0000 2017	N	S	S	0
859610369173716992	emilyfdearaujo	#MasterChefBR KKKKKKKSKSJEJWKS EU TO PASSANDO MAL	Wed May 03 03:27:37 +0000 2017	N	N	N	1
859610419845103616	ZAMENZA	A Caroline é maravilhosa. Seria amigo fácil. hahahahahah #MasterChefBR	Wed May 03 03:27:49 +0000 2017	N	N	N	1
859610469065207809	educhaves	A Mirian rindo da cara do Fabrizio. Putz vacilou feio pra ela #MasterChefBR	Wed May 03 03:28:01 +0000 2017	S	S	S	1
859610492985331712	_blondeblueeyes	Nois na #QuartaComTsunamiSDV ↩💙 #MasterChefBR https://t.co/mGNoJuz8at	Wed May 03 03:28:06 +0000 2017	N	N	N	1
859610535788204032	Resenha_TV	Paola apavorada com o prato da Caroline! hahahaha #MasterChefBR	Wed May 03 03:28:17 +0000 2017	N	N	N	1
859610565563559936	Aguinaldinho	não entendi o que aconteceu entre paola e caroline mas amei. #MasterChefBR	Wed May 03 03:28:24 +0000 2017	N	S	S	0
859610592071569411	Danzits	Paola melhor pessoa hahaha #MasterChefBR	Wed May 03 03:28:30 +0000 2017	N	S	S	0
859610594571407360	avadakedavrals	Gente eu amo a Paola #MasterChefBR	Wed May 03 03:28:31 +0000 2017	N	S	S	0
859610625319858183	leoyoungchef	A @MChefCaroline é uma figuraça! 😂 #MasterChefBr	Wed May 03 03:28:38 +0000 2017	N	N	N	1
859610679682183168	Teledramaturgia	Peixe na água? #MasterChefBR	Wed May 03 03:28:51 +0000 2017	N	N	N	1
859610768777646080	Aguinaldinho	paola e caroline melhores pessoas. #MasterChefBR https://t.co/7Xq5LZaT8H	Wed May 03 03:29:12 +0000 2017	N	N	N	1
859610773315833856	TeIevizona	Imagina sair de role com a Caroline depois dela tomar uns 3 cerveja e uns 5 shots de catuaba? #MasterChefBR https://t.co/ybvANNxXld	Wed May 03 03:29:13 +0000 2017	N	N	N	1
859610850293932032	emilyfdearaujo	#MasterChefBR eita Carol.. pqp	Wed May 03 03:29:32 +0000 2017	N	N	N	1